"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Maquinarias",2015,3,"Jujuy","Y",3,"38"
"Maquinarias",2015,3,"La Pampa","L",7,"42"
"Maquinarias",2015,3,"La Rioja","F",1,"46"
"Maquinarias",2015,3,"Mendoza","M",7,"50"
"Maquinarias",2015,3,"Misiones","N",5,"54"
"Maquinarias",2015,3,"Neuquén","Q",5,"58"
"Maquinarias",2015,3,"Río Negro","R",1,"62"
"Maquinarias",2015,3,"Salta","A",1,"66"
"Maquinarias",2015,3,"San Juan","J",0,"70"
"Maquinarias",2015,3,"San Luis","D",2,"74"
"Maquinarias",2015,3,"Santa Cruz","Z",2,"78"
"Maquinarias",2015,3,"Santa Fe","S",100,"82"
"Maquinarias",2015,3,"Santiago del Estero","G",3,"86"
"Maquinarias",2015,3,"Tierra del Fuego","V",0,"94"
"Maquinarias",2015,3,"Tucumán","T",3,"90"
"Maquinarias",2015,4,"Buenos Aires","B",81,"06"
"Maquinarias",2015,4,"Catamarca","K",6,"10"
"Maquinarias",2015,4,"Chaco","H",5,"22"
"Maquinarias",2015,4,"Chubut","U",1,"26"
"Maquinarias",2015,4,"Ciudad Autónoma de Bs.As.","C",295,"02"
"Maquinarias",2015,4,"Córdoba","X",114,"14"
"Maquinarias",2015,4,"Corrientes","W",5,"18"
"Maquinarias",2015,4,"Entre Ríos","E",16,"30"
"Maquinarias",2015,4,"Formosa","P",1,"34"
"Maquinarias",2015,4,"Jujuy","Y",2,"38"
"Maquinarias",2015,4,"La Pampa","L",6,"42"
"Maquinarias",2015,4,"La Rioja","F",2,"46"
"Maquinarias",2015,4,"Mendoza","M",12,"50"
"Maquinarias",2015,4,"Misiones","N",3,"54"
"Maquinarias",2015,4,"Neuquén","Q",4,"58"
"Maquinarias",2015,4,"Río Negro","R",0,"62"
"Maquinarias",2015,4,"Salta","A",6,"66"
"Maquinarias",2015,4,"San Juan","J",1,"70"
"Maquinarias",2015,4,"San Luis","D",1,"74"
"Maquinarias",2015,4,"Santa Cruz","Z",2,"78"
"Maquinarias",2015,4,"Santa Fe","S",144,"82"
"Maquinarias",2015,4,"Santiago del Estero","G",4,"86"
"Maquinarias",2015,4,"Tierra del Fuego","V",2,"94"
"Maquinarias",2015,4,"Tucumán","T",2,"90"
